Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
GOLDENFIELD SNOW WHITE GAMING CASING (WITHOUT FAN),goldenfieldsnowwhitecasing,8700.0,In Stock,https://computerzone.lk/product/goldenfield-snow-white-gaming-casing/,,,,,,
GOLDENFIELD V01 BLACK GAMING CASING (WITHOUT FAN),goldenfieldv01blackcasing,6000.0,In Stock,https://computerzone.lk/product/goldenfield-v01-black-gaming-casing/,,,,,,
GOLDENFIELD V01 WHITE GAMING CASING (WITHOUT FAN),goldenfieldv01whitecasing,6500.0,In Stock,https://computerzone.lk/product/goldenfield-v01-white-gaming-casing/,,,,,,
KEYTECH ARMOR COOLER BLACK CASING (WITHOUT FANS),keytecharmorblackcasing,9500.0,In Stock,https://computerzone.lk/product/keytech-armor-cooler-black-casing/,,,,,,
MSI MAG FORGE M100A MID-TOWER GAMING CASING,msimagforgem100amidtowercasing,15500.0,In Stock,https://computerzone.lk/product/msi-mag-forge-m100a-mid-tower-gaming/,,,,,,
POWER TRAIN STAR REALM M-ATX GAMING CASING (WITHOUT FAN),powertrainstarrealmmatxcasing,10500.0,Out of Stock,https://computerzone.lk/product/power-train-star-realm-m-atx-gaming-casing/,,,,,,
RAIDMAX INFINITA I610 RGB DUAL CHAMBER MID-TOWER GAMING CASE,raidmaxinfinitai610rgbdualchambermidtowercase,22500.0,In Stock,https://computerzone.lk/product/raidmax-infinita-i610-rgb-dual-chamber/,,,,,,
RAIDMAX VECTOR V100 RGB MID-TOWER GAMING CASE,raidmaxvectorv100rgbmidtowercase,15500.0,In Stock,https://computerzone.lk/product/raidmax-vector-v100-rgb-gaming-case/,,,,,,
RUIX ANION 240 BLACK GAMING CASING ( WITHOUT FAN),ruixanion240blackcasing,10500.0,In Stock,https://computerzone.lk/product/ruix-anion-240-black-gaming-casing/,,,,,,
RUIX ANION 360 BLACK CASING (WITHOUT FAN),ruixanion360blackcasing,15500.0,In Stock,https://computerzone.lk/product/ruix-anion-360-black-casing-without-fan/,,,,,,
RUIX ANION 360 WHITE CASING (WITHOUT FAN),ruixanion360whitecasing,15500.0,In Stock,https://computerzone.lk/product/ruix-anion-360-white-casing-without-fan/,,,,,,
RUIX CG72 TWILIGHT BLACK MID-TOWER CASING,ruixcg72twilightblackmidtowercasing,8500.0,In Stock,https://computerzone.lk/product/ruix-cg72-twilight-black-mid-tower-casing/,,,,,,
RUIX CG72 TWILIGHT WHITE MID-TOWER CASING,ruixcg72twilightwhitemidtowercasing,8500.0,In Stock,https://computerzone.lk/product/ruix-cg72-twilight-white-mid-tower-casing/,,,,,,
RUIX LC01 BLACK GAMING CASING (WITHOUT FAN),ruixlc01blackcasing,8500.0,Out of Stock,https://computerzone.lk/product/ruix-lc01-black-gaming-casing-without-fan/,,,,,,
RUIX LC01 WHITE GAMING CASING (WITHOUT FAN),ruixlc01whitecasing,9500.0,In Stock,https://computerzone.lk/product/ruix-lc01-white-gaming-casing-without-fan/,,,,,,
RUIX S1 WHITE GAMING CASING ( WITHOUT FAN ),ruixs1whitecasing,12500.0,Out of Stock,https://computerzone.lk/product/ruix-s1-white-gaming-casing-without-fan/,,,,,,
RUIX WIND BLACK GAMING CASING (WITHOUT FANS),ruixwindblackcasing,10000.0,In Stock,https://computerzone.lk/product/ruix-wind-black-gaming-casing-without-fans/,,,,,,
RUIX WIND WHITE CASING (WITHOUT FANS),ruixwindwhitecasing,9500.0,Out of Stock,https://computerzone.lk/product/ruix-wind-white-casing-without-fans/,,,,,,
SOEYI CH2 + BLACK GAMING CASING (WITHOUT FAN),soeyich2blackcasing,10500.0,Out of Stock,https://computerzone.lk/product/soeyi-ch2-black-gaming-casing-without-fan/,,,,,,
SOEYI CH2 + WHITE GAMING CASING (WITHOUT FAN),soeyich2whitecasing,11500.0,Out of Stock,https://computerzone.lk/product/soeyi-ch2-white-gaming-casing-without-fan/,,,,,,
SOEYI CH3 + BLACK GAMING CASING (WITHOUT FAN),soeyich3blackcasing,12500.0,In Stock,https://computerzone.lk/product/soeyi-ch3-black-gaming-casing-without-fan/,,,,,,
SOEYI CH3 + WHITE GAMING CASING (WITHOUT FAN),soeyich3whitecasing,13000.0,Out of Stock,https://computerzone.lk/product/soeyi-ch3-white-gaming-casing-without-fan/,,,,,,
SOEYI U600 BLACK GAMING CASING (WITHOUT FAN),soeyiu600blackcasing,29000.0,In Stock,https://computerzone.lk/product/soeyi-u600-black-gaming-casing-without-fan/,,,,,,
SOEYI U600 WHITE GAMING CASING (WITHOUT FAN),soeyiu600whitecasing,30000.0,In Stock,https://computerzone.lk/product/soeyi-u600-white-gaming-casing-without-fan/,,,,,,
SOEYI U620 BLACK GAMING CASING (WITHOUT FAN),soeyiu620blackcasing,10500.0,Out of Stock,https://computerzone.lk/product/soeyi-u620-black-gaming-casing-without-fan/,,,,,,
SOEYI U621 BLACK GAMING CASING (WITHOUT FAN),soeyiu621blackcasing,10500.0,Out of Stock,https://computerzone.lk/product/soeyi-u621-black-gaming-casing-without-fan/,,,,,,
SOEYI V906 SEAVIEW BLACK GAMING CASING (WITHOUT FAN),soeyiv906seaviewblackcasing,10500.0,In Stock,https://computerzone.lk/product/soeyi-v906-seaview-black-gaming-casing/,,,,,,
SOEYI V906 SEAVIEW WHITE GAMING CASING (WITHOUT FAN),soeyiv906seaviewwhitecasing,10500.0,In Stock,https://computerzone.lk/product/soeyi-v906-seaview-white-gaming-casing-without-fan/,,,,,,
SOEYI V920 BLACK GAMING CASING (WITHOUT FAN),soeyiv920blackcasing,11000.0,Out of Stock,https://computerzone.lk/product/soeyi-v920-black-gaming-casing/,,,,,,
SOEYI V930 BLACK GAMING CASING (WITHOUT FAN),soeyiv930blackcasing,12500.0,In Stock,https://computerzone.lk/product/soeyi-v930-black-gaming-casing-without-fan/,,,,,,
V SHENG BLACK GAMING CASING (WITHOUT FAN),vshengblackcasing,9000.0,Out of Stock,https://computerzone.lk/product/v-sheng-black-gaming-casing-without-fan/,,,,,,
