Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
DeepCool PK650D 80+ Bronze Power Supply,deepcoolpk650d80bronzepowersupply,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-pk650d-80-bronze-power-supply/
Antec Cuprum Strike CSK 450 80+ Bronze Power Supply,anteccuprumstrikecsk45080bronzepowersupply,,,,,,,13500.0,Out of Stock,https://www.winsoft.lk/product/antec-cuprum-strike-csk-450/
Deepcool PM750D 80+ Gold Power Supply,deepcoolpm750d80goldpowersupply,,,,,,,0.0,Out of Stock,https://www.winsoft.lk/product/deepcool-pm750d-80-gold-power-supply/
Gigabyte AORUS P750W 80+ GOLD Modular Power Supply,gigabyteaorusp750w80goldmodularpowersupply,,,,,,,45000.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-aorus-p750w-80-gold-modular-power-supply/
GIGABYTE UD1000GM 1000W Ultra Durable 80+ Gold Full Modular Power Supply,gigabyteud1000gm1000wultradurable80goldfullmodularpowersupply,,,,,,,70000.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-ud1000gm-1000w/
Gigabyte AORUS P850W 80 Plus Gold Fully Modular Power Supply,gigabyteaorusp850w80plusgoldfullymodularpowersupply,,,,,,,45000.0,Out of Stock,https://www.winsoft.lk/product/gigabyte-aorus-p850w-80-plus-gold-power-supply/
Prolink PRO2000SFCU Line Interactive Super Fast Charging 2000VA UPS,prolinkpro2000sfculineinteractivesuperfastcharging2000vaups,,,,,,,60000.0,Out of Stock,https://www.winsoft.lk/product/prolink-pro2000sfcu-line-interactive/
SilverStone ET550 550W 80+Gold Power Supply,silverstoneet550550w80goldpowersupply,,,,,,,23500.0,Out of Stock,https://www.winsoft.lk/product/silverstone-et550-80-plus-gold-certified/
SilverStone ET650 650W 80+ Bronze Power Supply,silverstoneet650650w80bronzepowersupply,,,,,,,23000.0,Out of Stock,https://www.winsoft.lk/product/silverstone-et650-80-plus-bronze-certified-atx-650w-power-supply/
SilverStone ST1200-PTS 1200W 80 Plus Platinum Fully Modular Power Supply,silverstonest1200pts1200w80plusplatinumfullymodularpowersupply,,,,,,,99000.0,Out of Stock,https://www.winsoft.lk/product/silverstone-st1200-pts-1200w-80-plus-platinum-fully-modular-power-supply/
SilverStone VIVA650 650W 80+ Gold Power Supply,silverstoneviva650650w80goldpowersupply,,,,,,,26500.0,Out of Stock,https://www.winsoft.lk/product/silverstone-viva650-80-plus-gold-certified/
Thermaltake Toughpower GF 750W 80 Plus GOLD Fully Modular Power Supply,thermaltaketoughpowergf750w80plusgoldfullymodularpowersupply,,,,,,,39500.0,Out of Stock,https://www.winsoft.lk/product/thermaltake-toughpower-gf-750w-80-plus-gold-fully-modular-power-supply/
Xigmatek Polima M12-600 450W EN42685 Power Supply,xigmatekpolimam12600450wen42685powersupply,,,,,,,6500.0,Out of Stock,https://www.winsoft.lk/product/xigmatek-polima-m12-600-450w-en42685-power/
350W NORMAL POWER SUPPLY (USED),350wnormalpowersupply,3000.0,In Stock,https://computerzone.lk/product/350w-normal-power-supply-used/,,,,,,
500W 80+ GAMING POWER SUPPLY (USED),500w80powersupply,4500.0,Out of Stock,https://computerzone.lk/product/500w-gaming-power-supply-used-2/,,,,,,
500W GAMING POWER SUPPLY (USED),500wpowersupply,4500.0,In Stock,https://computerzone.lk/product/500w-gaming-power-supply-used/,,,,,,
600W 80+ GAMING POWER SUPPLY (USED),600w80powersupply,6500.0,Out of Stock,https://computerzone.lk/product/600w-80-gaming-power-supply-used/,,,,,,
700W GAMING POWER SUPPLY,700wpowersupply,6500.0,Out of Stock,https://computerzone.lk/product/700w-gaming-power-supply/,,,,,,
ANTEC ATOM G650 650W 80+ GOLD SEMI MODULAR ATX 2.0 POWER SUPPLY,antecatomg650650w80goldsemimodularatx20powersupply,23500.0,In Stock,https://computerzone.lk/product/antec-atom-g650-650w-80-gold-semi-modular/,,,,,,
ANTEC ATOM G750 750W 80+ GOLD SEMI MODULAR ATX 2.0 POWER SUPPLY,antecatomg750750w80goldsemimodularatx20powersupply,22500.0,Out of Stock,https://computerzone.lk/product/antec-atom-g750-750w-80-gold-semi-modular/,,,,,,
ANTEC NEOECO NE650G M 650W GOLD MODULAR POWER SUPPLY,antecneoecone650gm650wgoldmodularpowersupply,29500.0,In Stock,https://computerzone.lk/product/antec-neoeco-ne650g-m-650w-gold-modular-power-supply/,,,,,,
ANTEC NEOECO NE850G M 850W ATX 3.0 GOLD MODULAR POWER SUPPLY,antecneoecone850gm850watx30goldmodularpowersupply,48500.0,In Stock,https://computerzone.lk/product/antec-neoeco-ne850g-m-850w-atx-3-0-gold-modular-power-supply/,,,,,,
GAMDIAS AURA GP450 PRO 450W POWER SUPPLY,gamdiasauragp450pro450wpowersupply,10500.0,Out of Stock,https://computerzone.lk/product/gamdias-aura-gp450-pro-450w-power-supply/,,,,,,
GAMDIAS AURA GP550 – 550W POWER SUPPLY,gamdiasauragp550550wpowersupply,10500.0,In Stock,https://computerzone.lk/product/gamdias-aura-gp550-550-watt-power-supply/,,,,,,
GAMDIAS AURA GP650 – 650W POWER SUPPLY,gamdiasauragp650650wpowersupply,12500.0,In Stock,https://computerzone.lk/product/gamdias-aura-gp650-650w-power-supply/,,,,,,
GAMDIAS AURA GP750 – 750W POWER SUPPLY,gamdiasauragp750750wpowersupply,14000.0,In Stock,https://computerzone.lk/product/gamdias-aura-gp750-750w-power-supply/,,,,,,
GOLDENFIELD GPG 550 80+ GOLD 550W MODULAR POWER SUPPLY,goldenfieldgpg55080gold550wmodularpowersupply,15500.0,Out of Stock,https://computerzone.lk/product/goldenfield-gpg-550-80-gold-550w/,,,,,,
MICRONICS CLASSIC II 700W 80+ GAMING POWER SUPPLY (USED),micronicsclassicii700w80powersupply,8500.0,Out of Stock,https://computerzone.lk/product/micronics-classic-ii-700w-80-power-supply/,,,,,,
MSI MAG A850GL PCIE5 850 WATT 80+ GOLD FULLY MODULAR POWER SUPPLY,msimaga850glpcie5850watt80goldfullymodularpowersupply,40500.0,In Stock,https://computerzone.lk/product/msi-mag-a850gl-pcie5-850-watt-80-power/,,,,,,
THERMALTAKE SMART BX3 550W 80 PLUS BRONZE POWER SUPPLY (5Y),thermaltakesmartbx3550w80plusbronzepowersupply,17500.0,In Stock,https://computerzone.lk/product/thermaltake-smart-bx3-550w-80-plus-bronze/,,,,,,
THERMALTAKE SMART BX3 650W 80 PLUS BRONZE POWER SUPPLY (5Y),thermaltakesmartbx3650w80plusbronzepowersupply,18500.0,In Stock,https://computerzone.lk/product/thermaltake-smart-bx3-650w-80-plus-bronze/,,,,,,
