Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
GAMDIAS BOREAS E2-410 AIR COOLER,gamdiasborease2410air,12500.0,In Stock,https://computerzone.lk/product/gamdias-boreas-e2-410-cpu-air-cooler/,11000.0,Out of Stock,https://www.nanotek.lk/product/gamdias-boreas-e2-410-air-cooler,,,
MSI MAG CORELIQUID A13 360 CPU Liquid Cooler,msimagliquida13360liquid,,,,29500.0,In Stock,https://www.nanotek.lk/product/msi-mag-coreliquid-a13-360-cpu-liquid-cooler,,,
Gamdias Boreas M2-51D ARGB CPU Air Cooler,gamdiasboreasm251dargbair,,,,12000.0,In Stock,https://www.nanotek.lk/product/gamdias-boreas-m2-51d-argb-cpu-air-cooler,,,
ANTEC A30 NEO CPU COOLER,anteca30neo,,,,7000.0,Out of Stock,https://www.nanotek.lk/product/antec-a30-neo-cpu-cooler,,,
ANTEC CONNECT 120 ARGB 3 FANS PACK WHITE/BLACK,antecconnect120argb3fanswhiteblack,,,,8500.0,Out of Stock,https://www.nanotek.lk/product/antec-connect-120-argb-3-fans-pack-whiteblack,,,
ANTEC F12 RACING ARGB 120MM 3 FANS PACK + PWM CONTROLLER,antecf12racingargb120mm3fanspwmcontroller,,,,9000.0,Out of Stock,https://www.nanotek.lk/product/antec-f12-racing-argb-120mm-3-fans-pack-pwm-controller,,,
ANTEC F12 RACING ARGB 120MM SINGLE,antecf12racingargb120mmsingle,,,,3000.0,Out of Stock,https://www.nanotek.lk/product/antec-f12-racing-argb-120mm-single,,,
CORSAIR iCUE LINK TITAN 360 RX LCD COOLER,corsairicuelinktitan360rxlcd,,,,73500.0,Out of Stock,https://www.nanotek.lk/product/corsair-icue-link-titan-360-rx-lcd-cooler,,,
CORSAIR NAUTILUS 360 RS ARGB COOLER,corsairnautilus360rsargb,,,,35500.0,In Stock,https://www.nanotek.lk/product/corsair-nautilus-360-rs-argb-cooler,,,
Noctua NF-A14 140MM Quiet Performing Casing fan,noctuanfa14140mmquietperformingcasingfan,,,,9500.0,Out of Stock,https://www.nanotek.lk/product/noctua-nf-a14-140mm-quiet-performing-casing-fan,,,
MSI MAG CORELIQUID C240,msimagliquidc240,,,,22500.0,In Stock,https://www.nanotek.lk/product/msi-mag-coreliquid-c240,,,
NZXT F120 RGB DUO Triple Pack 120MM Fans with Controller White,nzxtf120rgbduotriple120mmfanscontrollerwhite,,,,27000.0,Out of Stock,https://www.nanotek.lk/product/nzxt-f120-rgb-duo-triple-pack-120mm-fans-with-controller-white,,,
