Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,PCBuilders Price,PCBuilders Status,PCBuilders URL,Winsoft Price,Winsoft Status,Winsoft URL
Anker Soundcore Space Q45 ANC Headphones,ankersoundspaceq45ancheadphones,,,,28000.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-space-q45-anc-headphones,,,,,,
Anker Soundcore Q11i Wireless Headphones,ankersoundq11iwirelessheadphones,,,,10000.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-q11i-wireless-headphones,,,,,,
Anker Soundcore R50i True Wireless Earbuds ( Black / Blue ),ankersoundr50itruewirelessearbuds,,,,4300.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-r50i-true-wireless-earbuds-black-blue,,,,,,
Anker Soundcore R50i NC True Wireless Bluetooth Earbuds,ankersoundr50inctruewirelessbluetoothearbuds,,,,7000.0,In Stock,https://www.nanotek.lk/product/anker-soundcore-r50i-nc-true-wireless-bluetooth-earbuds,,,,,,
Anker Liberty 4 NC All-New True-Wireless Earbuds Black / White,ankerliberty4ncallnewtruewirelessearbudsblackwhite,,,,16000.0,In Stock,https://www.nanotek.lk/product/anker-liberty-4-nc-all-new-true-wireless-earbuds-black-white,,,,,,
Anker Liberty 4 Pro | Noise Cancelling True-Wireless Earbuds,ankerliberty4pronoisecancellingtruewirelessearbuds,,,,30000.0,In Stock,https://www.nanotek.lk/product/anker-liberty-4-pro-noise-cancelling-true-wireless-earbuds,,,,,,
Razer Kraken Kitty RGB USB Gaming Headset,razerkrakenkittyrgbusbheadset,,,,38500.0,In Stock,https://www.nanotek.lk/product/razer-kraken-kitty-rgb-usb-gaming-headset,,,,,,
CORSAIR HS65 SURROUND Wired Gaming Headset With USB Adapter Carbon/White,corsairhs65surroundwiredheadsetusbadaptercarbonwhite,,,,30000.0,In Stock,https://www.nanotek.lk/product/corsair-hs65-surround-wired-gaming-headset-with-usb-adapter-carbonwhite,,,,,,
CORSAIR HS55 STEREO WIRED HEADSET CARBON/WHITE,corsairhs55stereowiredheadsetcarbonwhite,,,,20000.0,In Stock,https://www.nanotek.lk/product/corsair-hs55-stereo-wired-headset-carbonwhite,,,,,,
FANTECH WHG04 TAMAGO II W/L Headset,fantechwhg04tamagoiiwlheadset,,,,7000.0,In Stock,https://www.nanotek.lk/product/fantech-whg04-tamago-ii-wl-headset,,,,,,
FANTECH GROOVE BAR PRO BS162 B/T SPEAKER,fantechgroovebarprobs162btspeaker,,,,6000.0,In Stock,https://www.nanotek.lk/product/fantech-groove-bar-pro-bs162-bt-speaker,,,,,,
CORSAIR HS55 SURROUND with DOLBY 7.1 Surround,corsairhs55surrounddolby71surround,,,,24000.0,In Stock,https://www.nanotek.lk/product/corsair-hs55-surround-with-dolby-71-surround,,,,,,
ONIKUMA B2 Headset Headworn Bluetooth 2.4g Wireless Headphone,onikumab2headsetheadwornbluetooth24gwirelessheadphone,,,,7500.0,In Stock,https://www.nanotek.lk/product/onikuma-b2-headset-headworn-bluetooth-24g-wireless-headphone,8700.0,In Stock,https://pcbuilders.lk/onikuma-b2/,,,
FANTECH HQ53 FLASH Light-Weight Gaming Headset,fantechhq53flashlightweightheadset,4500.0,In Stock,https://computerzone.lk/product/fantech-hq53-flash-light-weight-headset/,4000.0,In Stock,https://www.nanotek.lk/product/fantech-hq53-flash-light-weight-gaming-headset,,,,,,
ONIKUMA B5 RGB Cat Ear Bluetooth Wireless Gaming,onikumab5rgbcatearbluetoothwireless,,,,10000.0,In Stock,https://www.nanotek.lk/product/onikuma-b5-rgb-cat-ear-bluetooth-wireless-gaming,,,,,,
FANTECH GS202 SONAR Speakers,fantechgs202sonarspeakers,,,,3500.0,In Stock,https://www.nanotek.lk/product/fantech-gs202-sonar-speakers,,,,,,
HyperX Cloud III Gaming Headset,hyperxcloudiiiheadset,,,,35000.0,Out of Stock,https://www.nanotek.lk/product/hyperx-cloud-iii-gaming-headset,,,,35000.0,In Stock,https://www.winsoft.lk/product/hyperx-cloud-iii-gaming-headset/
HYPERX Cloudx Stinger,hyperxcloudxstinger,,,,12500.0,In Stock,https://www.nanotek.lk/product/hyperx-cloudx-stinger,,,,,,
LOGITECH G431 7.1 SURROUND SOUND GAMING HEADSET,logitechg43171surroundsoundheadset,,,,22500.0,Out of Stock,https://www.nanotek.lk/product/logitech-g431-71-surround-sound-gaming-headset,,,,,,
LOGITECH Z313 2.1 Speaker System,logitechz31321speakersystem,,,,15000.0,Out of Stock,https://www.nanotek.lk/product/logitech-z313-21-speaker-system,,,,14500.0,Out of Stock,https://www.winsoft.lk/product/logitech-z313-2-1-speaker-system/
Logitech G PRO X Wired Gaming Headset,logitechgproxwiredheadset,,,,49500.0,In Stock,https://www.nanotek.lk/product/logitech-g-pro-x-wired-gaming-headset,,,,,,
LOGITECH H390 USB NOISE CANCELLING HEADSET,logitechh390usbnoisecancellingheadset,,,,14500.0,In Stock,https://www.nanotek.lk/product/logitech-h390-usb-noise-cancelling-headset,,,,,,
LOGITECH G535 LIGHTSPEED WIRELESS GAMING HEADSET,logitechg535lightspeedwirelessheadset,,,,41500.0,In Stock,https://www.nanotek.lk/product/logitech-g535-lightspeed-wireless-gaming-headset,,,,41500.0,Out of Stock,https://www.winsoft.lk/product/logitech-g535-gaming-headset/
LOGITECH Z625 2.1 THX CERTIFIED SPEAKER,logitechz62521thxcertifiedspeaker,,,,55500.0,In stock,https://www.nanotek.lk/product/logitech-z625-21-thx-certified-speaker,,,,,,
NZXT Relay Subwoofer 140 Watt Desktop PC Gaming Subwoofer,nzxtrelaysubwoofer140wattpcsubwoofer,,,,53500.0,In Stock,https://www.nanotek.lk/product/nzxt-relay-subwoofer-140-watt-desktop-pc-gaming-subwoofer,,,,,,
NZXT RELAY SPEAKERS Premium 80W HDR Gaming PC Speakers,nzxtrelayspeakerspremium80whdrpcspeakers,,,,94500.0,In Stock,https://www.nanotek.lk/product/nzxt-relay-speakers-premium-80w-hdr-gaming-pc-speakers,,,,,,
SONICGEAR STUDIOPOD V-HD | HI-FIDELITY HOME BLUETOOTH SPEAKER,sonicgearstudiopodvhdhifidelityhomebluetoothspeaker,,,,55000.0,In Stock,https://www.nanotek.lk/product/sonicgear-studiopod-v-hd-hi-fidelity-home-bluetooth-speaker,,,,,,
Noise Pop Buds Truly Wireless Earbuds,noisepopbudstrulywirelessearbuds,,,,6000.0,In stock,https://www.nanotek.lk/product/noise-pop-buds-truly-wireless-earbuds,,,,,,
FANTECH ORBIT HG25 7.1 VIRTUAL SURROUND SOUND GAMING HEADSET,fantechorbithg2571virtualsurroundsoundheadset,5000.0,In Stock,https://computerzone.lk/product/fantech-orbit-hg25-7-1-gaming-headset/,5000.0,In Stock,https://www.nanotek.lk/product/fantech-orbit-hg25-71-virtual-surround-sound-gaming-headset,,,,,,
Fantech Go Vibe WH05 Wireless Headphone,fantechgovibewh05wirelessheadphone,,,,5000.0,In Stock,https://www.nanotek.lk/product/fantech-go-vibe-wh05-wireless-headphone,,,,,,
Patriot Viper V330 Stereo Gaming Headset,patriotviperv330stereoheadset,,,,9500.0,In Stock,https://www.nanotek.lk/product/patriot-viper-v330-stereo-gaming-headset,,,,,,
MSI MAESTRO 300 Gaming Headset,msimaestro300headset,,,,17500.0,Out of Stock,https://www.nanotek.lk/product/msi-maestro-300-gaming-headset,,,,,,
Fantech Go Tune WH06 Wireless Headphone,fantechgotunewh06wirelessheadphone,,,,7000.0,Out of Stock,https://www.nanotek.lk/product/fantech-go-tune-wh06-wireless-headphone,,,,,,
FANTECH HQ54 MARS II GAMING HEADSET,fantechhq54marsiiheadset,,,,3000.0,In Stock,https://www.nanotek.lk/product/fantech-hq54-mars-ii-gaming-headset,,,,,,
FANTECH GS303 GROOVE BAR GAMING SPEAKER,fantechgs303groovebarspeaker,,,,5500.0,In Stock,https://www.nanotek.lk/product/fantech-gs303-groove-bar-gaming-speaker,,,,,,
Sennheiser HD 450BT Wireless Active Noise Cancelling Headphone,sennheiserhd450btwirelessactivenoisecancellingheadphone,,,,53500.0,In Stock,https://www.nanotek.lk/product/sennheiser-hd-450bt-wireless-active-noise-cancelling-headphone,,,,,,
Sennheiser Consumer Audio HD 600 - Audiophile Hi-Res Open Back Dynamic Headphone,sennheiserconsumeraudiohd600audiophilehiresopenbackdynamicheadphone,,,,132500.0,Out of Stock,https://www.nanotek.lk/product/sennheiser-consumer-audio-hd-600-audiophile-hi-res-open-back-dynamic-headphone,,,,,,
Sennheiser ACCENTUM Wireless Headphones,sennheiseraccentumwirelessheadphones,,,,59500.0,In Stock,https://www.nanotek.lk/product/sennheiser-accentum-wireless-headphones,,,,,,
FANTECH AURORA HG29 7.1 SURROUND SOUND GAMING HEADSET,fantechaurorahg2971surroundsoundheadset,5500.0,In Stock,https://computerzone.lk/product/fantech-aurora-hg29-7-1-gaming-headset/,5500.0,In stock,https://www.nanotek.lk/product/fantech-aurora-hg29-71-surround-sound-gaming-headset,,,,,,
FANTECH PORTAL HG28 7.1 HEADSET,fantechportalhg2871headset,,,,6000.0,In Stock,https://www.nanotek.lk/product/fantech-portal-hg28-71-headset,,,,,,
Logitech G435 LIGHTSPEED Wireless Bluetooth Gaming Headset,logitechg435lightspeedwirelessbluetoothheadset,,,,23500.0,In Stock,https://www.nanotek.lk/product/logitech-g435-lightspeed-wireless-bluetooth-gaming-headset,,,,,,
FANTECH STUDIO WHG03 TRI MODE Wireless HEADPHONE,fantechstudiowhg03trimodewirelessheadphone,,,,10000.0,In Stock,https://www.nanotek.lk/product/fantech-studio-whg03-tri-mode-wireless-headphone,,,,,,
Corsair HS35 V2 Multiplatform Gaming Headset,corsairhs35v2multiplatformheadset,,,,14500.0,In Stock,https://www.nanotek.lk/product/corsair-hs35-v2-multiplatform-gaming-headset,,,,,,
UGREEN HEADSET STAND - 80701,ugreenheadsetstand80701,,,,4500.0,In Stock,https://www.nanotek.lk/product/ugreen-headset-stand-80701,,,,,,
LOGITECH H111 Stereo Headset,logitechh111stereoheadset,,,,3000.0,Out of Stock,https://www.nanotek.lk/product/logitech-h111-stereo-headset,,,,3200.0,Out of Stock,https://www.winsoft.lk/product/logitech-h111-stereo-headset/
